NI9237:ch0[V/V],ch1[V/V],ch2[V/V]; NI9205: ch0[V],ch1[V],ch2[V].
3.208097E-4	9.768922E-6	-3.083092E-7	7.543505E-4	-4.496685E-4	1.311577E-3
1.605873E-4	4.916909E-6	-1.932435E-7	4.880165E-4	-8.238232E-4	9.498985E-4
4.812312E-4	1.475073E-5	-5.620151E-7	5.526301E-4	-6.101518E-4	1.070983E-3
-3.967490E-6	3.245290E-4	1.364298E-6	9.066915E-4	-4.538710E-4	1.585265E-3
-2.054842E-6	1.625353E-4	5.660276E-7	8.099025E-4	-5.479022E-4	1.464706E-3
-6.221462E-6	4.866140E-4	1.395492E-6	9.567277E-4	-5.585398E-4	1.530501E-3
-1.747444E-5	3.248617E-4	-1.739308E-4	1.204150E-3	-4.517698E-4	2.098760E-3
-7.181707E-6	1.629574E-4	-8.703454E-5	1.256682E-3	-6.056867E-4	2.234947E-3
-3.188137E-5	4.879972E-4	-2.610003E-4	1.206120E-3	-8.004467E-4	2.140653E-3
2.255094E-4	2.334925E-4	2.183710E-7	1.426227E-3	-6.720075E-4	2.349466E-3
1.131815E-4	1.170525E-4	3.797113E-7	1.502923E-3	-6.018782E-4	2.390309E-3
